City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,hotan,37.0997,79.9269,83.48,14.0,0.0,5.88,CN,1717329844.0
151,greenville,35.6127,-77.3663,67.95,73.0,0.0,4.61,US,1717329725.0
152,kayes,14.0,-11.0,99.7,13.0,18.0,7.83,ML,1717329728.0
153,kirensk,57.7853,108.1119,47.97,90.0,100.0,1.99,RU,1717329848.0
154,shirvan,39.9509,48.8994,87.67,33.0,0.0,19.77,AZ,1717329849.0
155,rongelap,11.1635,166.8941,82.8,82.0,88.0,17.49,MH,1717329850.0
156,portland,45.5234,-122.6762,59.81,84.0,100.0,5.01,US,1717329672.0
157,wuchang,44.9143,127.15,59.85,75.0,19.0,1.66,CN,1717329853.0
158,haiku-pauwela,20.9219,-156.3051,74.05,86.0,0.0,14.0,US,1717329854.0
159,little cayman,,,,,,,,
160,wuwei,37.9281,102.6414,71.17,32.0,99.0,8.5,CN,1717329857.0
161,smithers,54.7804,-127.1743,35.92,100.0,75.0,2.3,CA,1717329706.0
162,lively,46.4334,-81.1498,59.02,87.0,99.0,3.06,CA,1717329667.0
163,afaahiti,-17.75,-149.2833,71.47,70.0,8.0,6.49,PF,1717329861.0
164,loukhi,66.0764,33.0381,73.51,48.0,38.0,7.72,RU,1717329862.0
165,quartu sant'elena,39.2419,9.1839,76.06,55.0,0.0,8.05,IT,1717329863.0
166,olinda,-8.0089,-34.8553,82.13,74.0,40.0,14.97,BR,1717329612.0
167,iskateley,67.6803,53.1512,32.02,88.0,94.0,5.01,RU,1717329866.0
168,dwarka,22.2394,68.9678,87.89,69.0,6.0,13.76,IN,1717329867.0
169,goundam,16.4145,-3.6708,105.46,21.0,1.0,12.5,ML,1717329869.0
170,college,64.8569,-147.8028,57.18,65.0,100.0,8.05,US,1717329870.0
171,obsharovka,53.125,48.8531,82.33,42.0,100.0,13.31,RU,1717329871.0
172,tahe,52.3333,124.7333,63.95,46.0,61.0,13.29,CN,1717329873.0
173,castelli,-25.9468,-60.6195,68.68,54.0,0.0,9.6,AR,1717329746.0
174,cable beach,,,,,,,,
175,gulf shores,30.246,-87.7008,78.08,83.0,20.0,0.0,US,1717329877.0
176,shimoda,34.6667,138.95,64.11,85.0,95.0,5.17,JP,1717329878.0
177,punta arenas,-53.15,-70.9167,28.51,93.0,0.0,6.91,CL,1717329879.0
178,koneurgench,,,,,,,,
179,nagqu,31.5,92.0,46.42,62.0,100.0,3.67,CN,1717329882.0
180,puerto san carlos,,,,,,,,
181,xining,36.6167,101.7667,64.53,39.0,100.0,16.91,CN,1717329884.0
182,antalaha,-14.9003,50.2788,81.01,62.0,4.0,14.79,MG,1717329886.0
183,altai,46.3722,96.2583,61.75,19.0,4.0,15.1,MN,1717329887.0
184,lihue,21.9789,-159.3672,72.99,82.0,100.0,17.27,US,1717329888.0
185,punta del este,-34.9667,-54.95,57.31,96.0,75.0,4.61,UY,1717329723.0
186,port hueneme,34.1478,-119.1951,61.32,93.0,100.0,5.75,US,1717329891.0
187,christies beach,-35.1396,138.4698,49.71,70.0,69.0,8.99,AU,1717329892.0
188,santa luzia,-19.7697,-43.8514,67.1,76.0,20.0,10.36,BR,1717329894.0
189,yuzhno-kurilsk,44.0306,145.8556,44.38,88.0,100.0,9.06,RU,1717329895.0
190,qa'en,33.7265,59.1844,89.24,8.0,0.0,18.57,IR,1717329759.0
191,lohardaga,23.4333,84.6833,96.44,24.0,77.0,3.94,IN,1717329898.0
192,mahibadhoo,3.7833,72.9667,84.15,81.0,93.0,12.53,MV,1717329899.0
193,twon-brass,4.3151,6.2418,79.93,80.0,96.0,1.74,NG,1717329900.0
194,itoman,26.1247,127.6694,68.38,96.0,75.0,17.27,JP,1717329902.0
195,wuhai,39.6647,106.8122,77.63,28.0,48.0,15.75,CN,1717329903.0
196,pandan,14.0453,124.1694,82.4,80.0,12.0,6.08,PH,1717329905.0
197,crateus,-5.1783,-40.6775,84.11,56.0,17.0,9.93,BR,1717329906.0
198,kas,36.2018,29.6377,87.53,39.0,49.0,10.0,TR,1717329908.0
199,queenstown,-31.8976,26.8753,55.33,86.0,100.0,3.33,ZA,1717329909.0
200,bangui,4.3612,18.555,87.98,62.0,20.0,2.3,CF,1717329910.0
201,st. john's,47.5649,-52.7093,53.67,98.0,100.0,17.27,CA,1717329912.0
202,enewetak,11.3474,162.3373,82.65,82.0,95.0,16.37,MH,1717329913.0
203,santa marinella,42.0345,11.8536,64.31,94.0,100.0,8.66,IT,1717329914.0
204,bamboo flat,11.7,92.7167,82.49,89.0,100.0,6.91,IN,1717329915.0
205,qapqal,,,,,,,,
206,bhamo,24.2667,97.2333,81.64,86.0,63.0,2.51,MM,1717329918.0
207,varzea da palma,-17.5981,-44.7308,74.48,53.0,48.0,8.19,BR,1717329837.0
208,santarem,-2.4431,-54.7083,80.73,94.0,40.0,4.61,BR,1717329793.0
209,qal'at bishah,,,,,,,,
210,tsiombe,-25.3,45.4833,79.88,45.0,0.0,11.1,MG,1717329924.0
211,zakynthos,37.7914,20.8953,87.22,37.0,20.0,4.61,GR,1717329923.0
212,luza,60.6308,47.2512,80.4,34.0,9.0,8.5,RU,1717329874.0
213,cururupu,-1.8283,-44.8683,82.35,82.0,14.0,3.4,BR,1717329771.0
214,hamilton,39.1834,-84.5333,63.75,94.0,100.0,5.75,US,1717329528.0
215,mathba,22.2855,89.9629,87.28,72.0,49.0,11.99,BD,1717329930.0
216,manismata,-2.4667,111.0333,77.45,91.0,100.0,1.7,ID,1717329932.0
217,vicente camalote,18.5139,-96.525,76.78,67.0,100.0,2.37,MX,1717329933.0
218,bel ombre,-4.6167,55.4167,87.64,70.0,20.0,10.36,SC,1717329934.0
219,egilsstadir,65.2653,-14.3948,53.51,40.0,40.0,16.11,IS,1717329935.0
220,quatre cocos,-20.2078,57.7625,78.91,72.0,33.0,12.08,MU,1717329937.0
221,al jawf,29.5,38.75,101.07,9.0,0.0,10.47,SA,1717329938.0
222,qandala,11.472,49.8728,91.08,60.0,33.0,7.36,SO,1717329939.0
223,alice springs,-23.7,133.8833,51.35,71.0,91.0,9.22,AU,1717329672.0
224,xichang,27.8964,102.2634,66.02,82.0,97.0,3.6,CN,1717329942.0
225,port lincoln,-34.7333,135.8667,55.74,61.0,100.0,16.28,AU,1717329943.0
226,brokopondo,4.75,-55.1667,78.91,87.0,97.0,6.15,SR,1717329945.0
227,fortuna,40.5982,-124.1573,56.93,92.0,100.0,0.0,US,1717329946.0
228,lockwood,45.8191,-108.4149,56.41,76.0,75.0,9.22,US,1717329947.0
229,nemuro,43.3236,145.575,43.63,91.0,99.0,11.41,JP,1717329927.0
230,christchurch,-43.5333,172.6333,46.94,90.0,78.0,3.44,NZ,1717329950.0
231,ishigaki,24.3448,124.1572,78.93,100.0,75.0,12.66,JP,1717329951.0
232,klyuchi,52.2667,79.1667,62.53,38.0,95.0,8.37,RU,1717329953.0
233,isangel,-19.55,169.2667,73.26,80.0,44.0,15.41,VU,1717329954.0
234,cargados carajos,,,,,,,,
235,utrik,11.2278,169.8474,82.56,83.0,32.0,18.99,MH,1717329957.0
236,fuvahmulah,,,,,,,,
237,keelung,25.1283,121.7419,69.94,92.0,100.0,14.5,TW,1717329711.0
238,sao lourenco da mata,-8.0022,-35.0183,81.84,74.0,40.0,14.97,BR,1717329774.0
239,'ohonua,,,,,,,,
240,manhattan,40.7834,-73.9662,71.83,60.0,0.0,5.01,US,1717329669.0
241,selfoss,63.9331,-20.9971,51.04,53.0,54.0,28.9,IS,1717329965.0
242,korla,41.7597,86.1469,83.48,15.0,7.0,15.37,CN,1717329966.0
243,dul'durga,50.6761,113.5931,66.31,41.0,43.0,1.95,RU,1717329967.0
244,rundu,-17.9333,19.7667,81.88,12.0,0.0,11.74,NA,1717329828.0
245,la'ie,21.6477,-157.9253,75.16,78.0,30.0,8.01,US,1717329970.0
246,eduardo castex,-35.915,-64.2945,51.67,33.0,98.0,13.4,AR,1717329971.0
247,lahaina,20.8783,-156.6825,75.81,89.0,4.0,11.72,US,1717329973.0
248,sosnovo-ozerskoye,52.5249,111.5418,64.81,42.0,55.0,5.23,RU,1717329974.0
249,redencao,-4.2258,-38.7306,78.49,85.0,43.0,6.22,BR,1717329975.0
250,tralee,52.2704,-9.7026,64.65,55.0,0.0,4.61,IE,1717329958.0
251,moussoro,13.6408,16.4901,105.19,21.0,63.0,4.81,TD,1717329978.0
252,demidov,55.2706,31.515,76.17,58.0,63.0,6.04,RU,1717329979.0
253,pacific grove,36.6177,-121.9166,55.51,91.0,100.0,11.5,US,1717329981.0
254,diego de almagro,-26.3667,-70.05,63.93,12.0,1.0,3.31,CL,1717329689.0
255,nieuw amsterdam,5.8833,-55.0833,80.76,89.0,20.0,2.3,SR,1717329983.0
256,caleta de carquin,-11.0925,-77.6267,62.62,83.0,53.0,3.49,PE,1717329984.0
257,san juan de miraflores,-12.1629,-76.9635,61.32,86.0,66.0,2.33,PE,1717329986.0
258,shalkar,47.8288,59.6258,85.86,24.0,100.0,9.17,KZ,1717329987.0
259,lumberton,34.6182,-79.0086,68.36,77.0,0.0,3.44,US,1717329988.0
260,aykhal,66.0,111.5,54.37,37.0,99.0,11.81,RU,1717329990.0
261,novo horizonte,-21.4681,-49.2208,71.92,45.0,0.0,7.87,BR,1717329892.0
262,auki,-8.7676,160.7034,76.05,89.0,100.0,2.3,SB,1717329992.0
263,theix,47.6333,-2.6667,67.05,72.0,40.0,12.66,FR,1717329994.0
264,huilong,31.8111,121.655,68.34,65.0,93.0,6.85,CN,1717329995.0
265,aral,40.5156,81.2636,83.62,18.0,28.0,5.82,CN,1717329996.0
266,fort mcmurray,56.7268,-111.381,40.59,100.0,100.0,3.44,CA,1717329998.0
267,maputo,-25.9653,32.5892,78.48,65.0,20.0,3.44,MZ,1717329707.0
268,ahau,,,,,,,,
269,laguna,38.421,-121.4238,61.54,79.0,0.0,8.05,US,1717329800.0
